month,year,event,category,description,link
7,2025,Masters of Natural Sciences (Mnatsci),Academic,Graduated with a first class masters degree and best overall performance,https://www.linkedin.com/in/oliver-brady-60729a12a/
8,2025,Surfing Introduction,Athletic|Adventure,5 days learning to surf in Peniche-Portugal,https://www.instagram.com/p/DOY9AguDdxA/?utm_source=ig_web_copy_link&igsh=MXNuNDM2MmZld3hkYw== 
9,2025,Weymouth 70.3,Athletic,"A competetive performance at Ironman 70.3 Weymouth, 8th in my age category",https://www.instagram.com/p/DOpAnP1iJf4/?utm_source=ig_web_copy_link&igsh=MXdraGd4ZzVocXdwcA== 
10,2025,Yorkshire Marathon,Athletic,Completed the Yorkshire Marathon,https://www.instagram.com/p/DQECx5hDVVj/?utm_source=ig_web_copy_link&igsh=Zzc5a2QwaGt2Yzl1 
8,2025,Data scientist at Weatherquest,Academic,Leaving weatherquest after working with them for around 2 years,https://www.linkedin.com/in/oliver-brady-60729a12a/
12,2025,Enhancing the Benefits of Mathematical Analysis in Hydrological and Industry Modelling,Academic,"Attended a workshop exploring how theoretical analysis can provide insights about the behaviour, calibration and robustness of rainfall-runoff models.",http://www.ptrinh.com/bathhydrology2025
11,2025,Norwich Half Marathon,Athletic, Achieved a PB:  1:31:53,
10,2025,Programming for data science (MA12005),Academic,"University of Bath, Tutoring the programming lab for semester 1",
2,2026,Programming for mathematics (MA12002),Academic,"University of Bath, Tutoring the programming lab for semester 2",
1,2026,Integrative Think Tank 23,Academic,BT Project: Working on statistical approaches for identifying non-stationarity in a time series of channel (H) matrices,
